observation_date,NAEXKP02NOQ189S
1978-01-01,136931000000.00002
1978-04-01,137779000000.00000
1978-07-01,139511000000.00000
1978-10-01,138566000000.00000
1979-01-01,141298000000.00000
1979-04-01,144395000000.00000
1979-07-01,144484000000.00000
1979-10-01,145827000000.00000
1980-01-01,146578000000.00000
1980-04-01,145719000000.00000
1980-07-01,147107000000.00000
1980-10-01,148524000000.00000
1981-01-01,146930000000.00000
1981-04-01,147060000000.00000
1981-07-01,145501000000.00000
1981-10-01,150214000000.00000
1982-01-01,148365000000.00000
1982-04-01,149996000000.00000
1982-07-01,149300000000.00000
1982-10-01,148657000000.00000
1983-01-01,151260000000.00000
1983-04-01,151227000000.00000
1983-07-01,153094000000.00000
1983-10-01,152545000000.00000
1984-01-01,153521000000.00000
1984-04-01,156202000000.00000
1984-07-01,157418000000.00000
1984-10-01,160396000000.00000
1985-01-01,167532000000.00000
1985-04-01,169305000000.00000
1985-07-01,173084000000.00000
1985-10-01,175506000000.00000
1986-01-01,179912000000.00000
1986-04-01,183259000000.00000
1986-07-01,177660000000.00000
1986-10-01,179206000000.00000
1987-01-01,178505000000.00000
1987-04-01,179836000000.00000
1987-07-01,178324000000.00000
1987-10-01,178926000000.00000
1988-01-01,176853000000.00000
1988-04-01,175821000000.00000
1988-07-01,174540000000.00000
1988-10-01,173268000000.00000
1989-01-01,172909000000.00000
1989-04-01,174352000000.00000
1989-07-01,174334000000.00000
1989-10-01,174607000000.00000
1990-01-01,172209000000.00000
1990-04-01,176032000000.00000
1990-07-01,176950000000.00000
1990-10-01,175833000000.00000
1991-01-01,178906000000.00000
1991-04-01,176809000000.00000
1991-07-01,180313000000.00000
1991-10-01,179608000000.00000
1992-01-01,182006000000.00000
1992-04-01,185091000000.00000
1992-07-01,181275000000.00000
1992-10-01,184182000000.00000
1993-01-01,185178000000.00000
1993-04-01,185894000000.00000
1993-07-01,187444000000.00000
1993-10-01,190674000000.00000
1994-01-01,192865000000.00000
1994-04-01,193336000000.00000
1994-07-01,194134000000.00000
1994-10-01,194287000000.00000
1995-01-01,197046000000.00000
1995-04-01,200965000000.00000
1995-07-01,202058000000.00000
1995-10-01,202534000000.00000
1996-01-01,210426000000.00000
1996-04-01,211586000000.00000
1996-07-01,215319000000.00000
1996-10-01,216022000000.00000
1997-01-01,215252000000.00000
1997-04-01,219292000000.00000
1997-07-01,221396000000.00000
1997-10-01,224044000000.00000
1998-01-01,223525000000.00000
1998-04-01,228629000000.00000
1998-07-01,226629000000.00000
1998-10-01,226094000000.00000
1999-01-01,234047000000.00000
1999-04-01,230926000000.00000
1999-07-01,235192000000.00000
1999-10-01,238501000000.00000
2000-01-01,241860000000.00000
2000-04-01,245800000000.00000
2000-07-01,245793000000.00000
2000-10-01,244362000000.00000
2001-01-01,246802000000.00000
2001-04-01,248745000000.00000
2001-07-01,249656000000.00000
2001-10-01,252782000000.00000
2002-01-01,254749000000.00000
2002-04-01,253774000000.00000
2002-07-01,258262999999.99997
2002-10-01,262495999999.99997
2003-01-01,261678999999.99997
2003-04-01,263082000000.00000
2003-07-01,266860000000.00000
2003-10-01,270522000000.00000
2004-01-01,276579000000.00000
2004-04-01,280152000000.00000
2004-07-01,281016000000.00000
2004-10-01,282276000000.00000
2005-01-01,287464000000.00000
2005-04-01,291367000000.00000
2005-07-01,296864000000.00000
2005-10-01,293640000000.00000
2006-01-01,300434000000.00000
2006-04-01,306280000000.00000
2006-07-01,309520000000.00000
2006-10-01,311104000000.00000
2007-01-01,317716000000.00000
2007-04-01,321120000000.00000
2007-07-01,325408000000.00000
2007-10-01,328228000000.00000
2008-01-01,331911000000.00000
2008-04-01,332330000000.00000
2008-07-01,326534000000.00000
2008-10-01,323380000000.00000
2009-01-01,321420000000.00000
2009-04-01,327754000000.00000
2009-07-01,331569000000.00000
2009-10-01,333810000000.00000
2010-01-01,339485000000.00000
2010-04-01,338869000000.00000
2010-07-01,342060000000.00000
2010-10-01,344219000000.00000
2011-01-01,346025000000.00000
2011-04-01,348194000000.00000
2011-07-01,349439000000.00000
2011-10-01,353243000000.00000
2012-01-01,357519000000.00000
2012-04-01,360976000000.00000
2012-07-01,363357000000.00000
2012-10-01,363980000000.00000
2013-01-01,369195000000.00000
2013-04-01,370526000000.00000
2013-07-01,373004000000.00000
2013-10-01,373751000000.00000
2014-01-01,375883000000.00000
2014-04-01,379140000000.00000
2014-07-01,379754000000.00000
2014-10-01,382490000000.00000
2015-01-01,386767000000.00000
2015-04-01,389003000000.00000
2015-07-01,390619000000.00000
2015-10-01,391995000000.00000
2016-01-01,393238000000.00000
2016-04-01,391420000000.00000
2016-07-01,391905000000.00000
2016-10-01,397435000000.00000
2017-01-01,401062000000.00000
2017-04-01,402828000000.00000
2017-07-01,403309000000.00000
2017-10-01,408263000000.00000
2018-01-01,407122000000.00000
2018-04-01,411234000000.00000
2018-07-01,409511000000.00000
2018-10-01,412568000000.00000
2019-01-01,413126000000.00000
2019-04-01,413697000000.00000
2019-07-01,417476000000.00000
2019-10-01,415904000000.00000
2020-01-01,402482000000.00000
2020-04-01,358367000000.00000
2020-07-01,392326000000.00000
2020-10-01,397070000000.00000
2021-01-01,380308000000.00000
2021-04-01,392997000000.00000
2021-07-01,423271000000.00000
2021-10-01,429062000000.00000
2022-01-01,415689000000.00000
2022-04-01,431457000000.00000
2022-07-01,431767000000.00000
2022-10-01,449345000000.00000
2023-01-01,425755000000.00000
2023-04-01,427294000000.00000
2023-07-01,429378000000.00000
