Variable,Std_Dev_Pct,Rel_Vol_to_GDP,Corr_x_t_y_t_minus_2,Corr_x_t_y_t_minus_1,Contemporaneous,Corr_x_t_y_t_plus_1,Corr_x_t_y_t_plus_2
consumption_log,2.22693376418538,1.73388470194169,0.356320028917992,0.529522965201238,0.749919547273079,0.557639755293116,0.242969741140997
cpi_log,0.885202597928942,0.689216386832896,-0.183714584417288,-0.0931215138935537,0.0488406374561989,0.101217844549848,0.128002989068437
gdp_log,1.28436092762775,1,0.372736365302067,0.581757863768948,1,0.581757863768948,0.372736365302067
interest_rate,97.2015014552633,75.6808303369968,-0.021876695499171,0.14271936944598,0.286307191005622,0.421495533911882,0.469678306092662
investment_log,4.73190382548698,3.68424772484083,0.301465275344195,0.386051386427705,0.468184563733929,0.49604942705709,0.437562086522298
real_wages_log,1.82835178858969,1.42354983654533,0.169304324759877,0.30721402376582,0.468769416416808,0.4828873520461,0.43171246412035
hours_log,1.37692834231822,1.07207274271528,0.229417153819058,0.449239103670143,0.682384439554295,0.668677847009995,0.523410110460026
tfp_proxy_log,1.06393504915752,0.828376997673576,0.15305167615401,0.120888032916879,0.324048401941029,-0.163106206530932,-0.227429477053118
inflation_qtly,262.334029603225,204.252577262502,0.00989232072016003,0.117130571701391,0.209019621082932,0.0199853045138518,0.0123984506490931
inflation_yoy,98.0512748863968,76.3424616688554,0.0934985730033119,0.0813696524647465,0.178614554961743,0.211650938573404,0.232091479656241
